id,startDate,endDate,carId,totalPrice,userUID
222,2023-01-01,2023-01-03,62,1230,user28
287,2023-01-01,2023-01-10,44,7362,user89
122,2023-01-03,2023-01-08,69,1560,user10
343,2023-01-03,2023-01-10,50,5418,user99
273,2023-01-05,2023-01-08,92,2049,user87
380,2023-01-07,2023-01-15,41,5168,user10
181,2023-01-08,2023-01-13,45,4755,user64
330,2023-01-08,2023-01-15,17,2639,user92
460,2023-01-08,2023-01-10,55,1016,user12
401,2023-01-09,2023-01-19,28,5280,user56
350,2023-01-11,2023-01-14,13,1206,user9
392,2023-01-11,2023-01-14,26,924,user90
54,2023-01-13,2023-01-23,76,9340,user76
68,2023-01-14,2023-01-24,82,8490,user75
477,2023-01-17,2023-01-22,83,2660,user69
44,2023-01-18,2023-01-24,82,5094,user99
312,2023-01-18,2023-01-25,22,2772,user89
157,2023-01-19,2023-01-23,37,3896,user77
422,2023-01-19,2023-01-22,95,1083,user89
481,2023-01-19,2023-01-26,7,5390,user4
76,2023-01-20,2023-01-22,39,1030,user78
425,2023-01-20,2023-01-21,79,897,user98
276,2023-01-21,2023-01-27,49,2100,user80
100,2023-01-23,2023-01-30,9,4179,user64
115,2023-01-23,2023-01-27,65,1560,user16
486,2023-01-24,2023-01-26,72,1808,user55
206,2023-01-28,2023-01-29,88,349,user89
185,2023-01-29,2023-02-08,27,5190,user33
221,2023-01-29,2023-02-05,72,6328,user93
463,2023-01-29,2023-02-01,77,2031,user32
22,2023-01-31,2023-02-01,44,818,user16
58,2023-01-31,2023-02-07,99,5334,user40
175,2023-02-01,2023-02-03,64,1052,user11
66,2023-02-04,2023-02-05,73,871,user34
91,2023-02-04,2023-02-08,45,3804,user20
335,2023-02-04,2023-02-13,47,6426,user1
71,2023-02-05,2023-02-06,31,784,user46
205,2023-02-05,2023-02-06,64,526,user38
109,2023-02-06,2023-02-12,31,4704,user61
3,2023-02-07,2023-02-08,53,309,user94
168,2023-02-09,2023-02-12,79,2691,user4
436,2023-02-12,2023-02-20,95,2888,user47
124,2023-02-14,2023-02-21,65,2730,user32
88,2023-02-21,2023-02-27,23,5478,user87
440,2023-02-21,2023-02-28,28,3696,user82
491,2023-02-21,2023-02-27,56,4008,user19
487,2023-02-22,2023-03-02,89,4200,user12
182,2023-02-23,2023-02-28,43,3750,user22
193,2023-02-23,2023-02-28,25,4540,user23
170,2023-02-24,2023-03-04,48,3880,user29
432,2023-02-24,2023-02-26,15,1528,user16
159,2023-02-26,2023-02-28,12,1974,user44
399,2023-02-26,2023-03-05,96,5152,user3
135,2023-02-27,2023-03-03,41,2584,user78
361,2023-02-27,2023-03-02,60,2430,user66
41,2023-03-01,2023-03-03,67,1964,user13
293,2023-03-01,2023-03-03,62,1230,user73
32,2023-03-02,2023-03-09,14,5887,user20
111,2023-03-03,2023-03-05,24,1052,user10
96,2023-03-04,2023-03-09,58,1850,user92
295,2023-03-04,2023-03-05,73,871,user58
180,2023-03-06,2023-03-15,90,7047,user20
200,2023-03-10,2023-03-13,8,2814,user78
271,2023-03-10,2023-03-11,78,483,user87
126,2023-03-11,2023-03-14,35,1143,user6
466,2023-03-11,2023-03-18,11,2296,user9
409,2023-03-12,2023-03-14,7,1540,user98
106,2023-03-14,2023-03-23,50,6966,user26
42,2023-03-15,2023-03-24,100,8370,user16
223,2023-03-15,2023-03-19,39,2060,user38
256,2023-03-18,2023-03-21,97,2100,user96
73,2023-03-19,2023-03-29,82,8490,user35
155,2023-03-21,2023-03-31,56,6680,user43
315,2023-03-22,2023-03-23,5,551,user40
60,2023-03-23,2023-03-27,80,1524,user42
427,2023-03-24,2023-03-28,42,2528,user44
186,2023-03-26,2023-04-01,85,3936,user13
317,2023-03-26,2023-03-28,85,1312,user73
447,2023-03-28,2023-04-04,1,6090,user96
203,2023-03-30,2023-03-31,85,656,user96
289,2023-03-30,2023-04-03,25,3632,user14
485,2023-03-30,2023-04-06,31,5488,user71
194,2023-03-31,2023-04-03,5,1653,user34
253,2023-04-01,2023-04-09,42,5056,user16
95,2023-04-03,2023-04-04,67,982,user73
31,2023-04-05,2023-04-09,15,3056,user54
249,2023-04-05,2023-04-12,78,3381,user57
448,2023-04-05,2023-04-14,29,8073,user12
457,2023-04-05,2023-04-11,97,4200,user50
417,2023-04-06,2023-04-13,59,5418,user36
226,2023-04-07,2023-04-10,60,2430,user97
302,2023-04-08,2023-04-10,30,768,user58
129,2023-04-10,2023-04-14,100,3720,user81
192,2023-04-11,2023-04-20,87,6723,user49
336,2023-04-11,2023-04-14,14,2523,user48
204,2023-04-12,2023-04-15,25,2724,user60
454,2023-04-15,2023-04-17,92,1366,user71
28,2023-04-17,2023-04-24,73,6097,user27
272,2023-04-17,2023-04-24,14,5887,user16
307,2023-04-19,2023-04-25,5,3306,user36
183,2023-04-20,2023-04-29,30,3456,user58
424,2023-04-21,2023-04-27,44,4908,user76
426,2023-04-23,2023-04-27,97,2800,user68
322,2023-04-27,2023-05-05,48,3880,user35
177,2023-04-28,2023-05-07,95,3249,user28
270,2023-04-30,2023-05-01,84,416,user54
70,2023-05-02,2023-05-05,20,2823,user4
290,2023-05-03,2023-05-09,39,3090,user62
356,2023-05-04,2023-05-13,23,8217,user33
174,2023-05-06,2023-05-16,46,7590,user70
23,2023-05-07,2023-05-08,19,986,user38
244,2023-05-07,2023-05-10,74,2625,user57
150,2023-05-09,2023-05-13,42,2528,user72
197,2023-05-12,2023-05-18,55,3048,user95
291,2023-05-12,2023-05-15,99,2286,user17
69,2023-05-17,2023-05-27,70,5470,user11
151,2023-05-17,2023-05-26,44,7362,user17
499,2023-05-19,2023-05-21,31,1568,user14
379,2023-05-22,2023-05-25,70,1641,user37
86,2023-05-23,2023-05-29,32,4110,user30
227,2023-05-24,2023-05-25,65,390,user62
339,2023-05-24,2023-05-26,23,1826,user9
35,2023-05-25,2023-05-30,30,1920,user13
384,2023-05-25,2023-06-03,73,7839,user45
1,2023-05-27,2023-06-04,34,3400,user30
128,2023-05-27,2023-06-01,9,2985,user94
381,2023-05-29,2023-06-01,37,2922,user18
118,2023-05-31,2023-06-08,64,4208,user4
266,2023-05-31,2023-06-10,42,6320,user25
236,2023-06-03,2023-06-11,31,6272,user26
173,2023-06-04,2023-06-12,87,5976,user67
25,2023-06-05,2023-06-14,64,4734,user1
357,2023-06-05,2023-06-13,99,6096,user94
369,2023-06-07,2023-06-09,73,1742,user11
297,2023-06-08,2023-06-10,19,1972,user84
400,2023-06-08,2023-06-13,6,3900,user29
140,2023-06-09,2023-06-10,34,425,user63
319,2023-06-14,2023-06-16,64,1052,user32
476,2023-06-15,2023-06-21,6,4680,user56
6,2023-06-17,2023-06-20,7,2310,user55
283,2023-06-17,2023-06-26,52,4356,user46
234,2023-06-20,2023-06-22,89,1050,user75
299,2023-06-21,2023-06-29,14,6728,user59
261,2023-06-25,2023-06-29,75,2804,user67
452,2023-06-25,2023-06-29,11,1312,user46
